year,state_name,population,violent_crime,property_crime,crime_rate
2020,South Dakota,892717,4476,17468,1.956723127262055
2020,Tennessee,6886834,46328,171675,2.4928000297379027
2020,Texas,29360759,131084,659160,2.2450373302679267
2020,Utah,3249879,8471,80091,2.464430214171051
2020,Virginia,8590563,17925,125114,1.4564121117556557
2020,Vermont,623347,1081,7586,1.2169786651736512
2020,Washington,7693612,22596,210223,2.732435688204708
2020,Wisconsin,5832655,18861,86654,1.4856699050432436
2020,West Virginia,1784787,6352,24976,1.3993826714336222
2020,Wyoming,582328,1364,9379,1.6106043329532498
2021,Alaska,734182,5573,13456,1.8327880552778466
2021,Alabama,5049846,17590,74271,1.4707577221166745
2021,Arkansas,3028122,21271,76580,2.5289601938098927
2021,Arizona,7264877,30922,153641,2.114846541792793
2021,California,39142991,188343,847567,2.1653097485575388
2021,Colorado,5811297,27916,182850,3.146457666851307
2021,Connecticut,3623355,6109,55018,1.5184269827273342
2021,District of Columbia,668791,6362,27669,4.137166917617013
2021,Delaware,1004807,4212,18904,1.8813563201689478
2021,Florida,21828069,73632,331252,1.5175506362931142
2021,Georgia,10788029,37741,172761,1.601413937615481
2021,Hawaii,1447154,3965,36660,2.533248016451601
2021,Iowa,3197689,9434,48232,1.5083393037909565
2021,Idaho,1904314,4585,18371,0.9647043502279561
2021,Illinois,12686469,43739,176763,1.3933191339528752
2021,Indiana,6813532,22661,105814,1.5529977697323503
2021,Kansas,2937922,13071,66020,2.2471665347139917
2021,Kentucky,4506589,12121,73175,1.6237336042847483
2021,Louisiana,4627098,30666,117013,2.52886366357488
2021,Massachusetts,6989690,21043,69918,1.000301873187509
2021,Maryland,6174610,26866,93975,1.521958471871098
2021,Maine,1377238,1555,15621,1.1342266187833911
2021,Michigan,10037504,49295,137199,1.3668637143257925
2021,Minnesota,5711471,17643,116831,2.045550086834022
2021,Missouri,6169823,32348,144792,2.346777209005834
2021,Mississippi,2949586,7532,54873,1.8603627763353907
2021,Montana,1106227,5197,22449,2.0293303273197996
2021,North Carolina,10565885,44328,220527,2.087160706367711
2021,North Dakota,777934,2150,16685,2.1447834906303105
2021,Nebraska,1963554,5831,35709,1.8185901686431847
2021,New Hampshire,1387505,1800,14396,1.0375458106457274
2021,New Jersey,9267961,17003,102821,1.1094241764720416
2021,New Mexico,2116677,17374,58682,2.77236441837843
2021,Nevada,3146402,13592,70236,2.232264027292126
2021,New York,19857492,61227,208058,1.0477556783102318
2021,Ohio,11764342,37341,202361,1.720121703364285
2021,Oklahoma,3991225,17483,104908,2.628466197721251
